epoch,train_loss,train_acc,val_loss,val_acc
1,0.3776132039546445,0.8763676148796499,,0.9649737302977233
2,0.12208431844703478,0.9606126914660832,0.0948333665076154,0.9649737302977233
3,0.08698987386941388,0.9682713347921226,0.08642247836586682,0.968476357267951
4,0.055983208410066904,0.9798687089715536,0.049183836334014734,0.9824868651488616
5,0.047205784861446734,0.9842450765864332,0.031659934650976114,0.9877408056042032
6,0.03644134787051924,0.9901531728665208,0.041541152576640275,0.9877408056042032
7,0.02389852739748274,0.9921225382932166,0.03805798469611848,0.9877408056042032
8,0.024581787355358282,0.9923413566739606,0.07848635916076209,0.978984238178634
9,0.024078382757294688,0.9916849015317286,0.0365335620913635,0.989492119089317
10,0.03134705412733477,0.9899343544857768,0.025996186060997316,0.9929947460595446
11,0.026885872831898264,0.9914660831509847,0.030540038741621044,0.9938704028021016
12,0.02260571350414852,0.9919037199124726,0.03636731543935405,0.9903677758318739
13,0.014277513282800488,0.9954048140043764,0.0446689871059088,0.9877408056042032
14,0.020657982972106147,0.9936542669584245,0.05030981870082692,0.9877408056042032
15,0.01841788234543748,0.9940919037199125,0.090623149939449,0.9816112084063048
16,0.019202276496945204,0.9940919037199125,0.06087999304225619,0.9877408056042032
17,0.014980689441495833,0.9958424507658643,0.053539830519415715,0.989492119089317
18,0.01544511456453166,0.9958424507658643,0.0256751824802684,0.9912434325744308
19,0.007239418843668362,0.9971553610503282,0.040519131044138526,0.9912434325744308
20,0.017216371341977326,0.9951859956236324,0.06444080301841357,0.9807355516637478
21,0.014633380584199699,0.9956236323851203,0.030156309884349405,0.9903677758318739
22,0.017297488437961438,0.9945295404814004,0.03210094106599123,0.9956217162872154
23,0.013450551293846383,0.9951859956236324,0.04005800445941574,0.98861646234676
24,0.007205345515921891,0.9975929978118162,0.026390086122235566,0.9929947460595446
25,0.015142806692757589,0.9949671772428884,0.040443826681688014,0.989492119089317
26,0.018346288452980555,0.9945295404814004,0.03824041635059016,0.989492119089317
27,0.010398417489635768,0.9964989059080963,0.06154092807067661,0.9859894921190894
28,0.024823010854674726,0.9927789934354486,0.048441635643644995,0.9859894921190894
29,0.014682680381669845,0.9945295404814004,0.03145706225610656,0.9921190893169878
30,0.006881318154937896,0.9973741794310722,0.04031604371847497,0.9903677758318739
